Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),Heating:Electricity [J](Hourly),Heating:Gas [J](Hourly),Cooling:Electricity [J](Hourly),HVACFan:Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),General:InteriorLights:Electricity [J](Hourly),General:ExteriorLights:Electricity [J](Hourly),Appl:InteriorEquipment:Electricity [J](Hourly),Misc:InteriorEquipment:Electricity [J](Hourly) 
 12/03  06:00:00,1.244967888,14.38588136,0,13.652665,0,0.485211154,0.485211154,0.485211154,0.11169646,0.025452541,0.106595392,0.492612342
 12/03  07:00:00,1.56443081,15.63496896,0,14.24935352,0,0.506378483,0.506378483,0.506378483,0.234562596,0.053450338,0.177474276,0.569165118
 12/03  08:00:00,1.979899271,14.05117963,0,12.47696008,0,0.443391521,0.443391521,0.443391521,0.480294791,0.109445919,0.281086459,0.604780581
 12/03  09:00:00,1.890305141,13.17117637,0,11.63876735,0,0.413521871,0.413521871,0.413521871,0.469125063,0.106900675,0.366050484,0.511307048
 12/03  10:00:00,1.591800107,11.67306026,0,10.28376388,0,0.3652763,0.3652763,0.3652763,0.256901792,0.058540825,0.452517545,0.435163645
 12/03  11:00:00,1.576759645,11.67252502,0,10.45238233,0,0.371195638,0.371195638,0.371195638,0.212223272,0.048359819,0.476182943,0.445397973
 12/03  12:00:00,1.51546423,9.205557045,0,8.139367862,0,0.288974681,0.288974681,0.288974681,0.212223272,0.048359819,0.496972028,0.445534431
 12/03  13:00:00,1.435224588,7.479103267,0,6.531116559,0,0.231796296,0.231796296,0.231796296,0.212223272,0.048359819,0.481415945,0.438029257
 12/03  14:00:00,1.363747968,6.224140029,0,5.348456937,0,0.189769912,0.189769912,0.189769912,0.212223272,0.048359819,0.436818903,0.453176063
 12/03  15:00:00,1.363173772,5.629661763,0,4.8216953,0,0.171065094,0.171065094,0.171065094,0.234562596,0.053450338,0.40200209,0.478693655
 12/03  16:00:00,1.518238614,5.893278733,0,5.076013543,0,0.18007731,0.18007731,0.18007731,0.323919639,0.07381235,0.411726406,0.505302909
 12/03  17:00:00,2.015406258,6.846685541,0,5.934711231,0,0.210571604,0.210571604,0.210571604,0.580821562,0.132353206,0.470575106,0.59768478
 12/03  18:00:00,2.791954895,7.192826598,0,6.096188366,0,0.216341684,0.216341684,0.216341684,1.016437699,0.231618119,0.578065906,0.726091487
 12/03  19:00:00,3.2317982,7.515765048,0,6.241619523,0,0.221533193,0.221533193,0.221533193,1.34035694,0.305430469,0.522761394,0.788316204
 12/03  20:00:00,3.055247225,8.543606605,0,7.2316952,0,0.256704692,0.256704692,0.256704692,1.251000297,0.285068456,0.425376441,0.813697339
 12/03  21:00:00,2.939928798,9.568473358,0,8.349672673,0,0.296427432,0.296427432,0.296427432,1.139303796,0.259615925,0.379510475,0.84167117
 12/03  22:00:00,2.680032191,9.414506791,0,8.323531448,0,0.295514912,0.295514912,0.295514912,0.960589451,0.218891838,0.359614732,0.822021259
 12/03  23:00:00,2.214580899,9.702836495,0,8.814088207,0,0.312918699,0.312918699,0.312918699,0.714857256,0.162896256,0.289154633,0.711354054
 12/03  24:00:00,1.790155257,10.23814058,0,9.572366906,0,0.339813074,0.339813074,0.339813074,0.502633987,0.114536438,0.191618322,0.618153437
 12/04  01:00:00,1.319218511,10.38286318,0,9.969953019,0,0.353900995,0.353900995,0.353900995,0.256901792,0.058540825,0.115167851,0.511307048
 12/04  02:00:00,1.149799695,10.61027704,0,10.29043979,0,0.365241173,0.365241173,0.365241173,0.156375021,0.035633569,0.098370824,0.470779108
 12/04  03:00:00,1.069920542,10.84209772,0,10.54722114,0,0.374315499,0.374315499,0.374315499,0.10052681,0.022907288,0.083450145,0.465320799
