Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 12/01  15:00:00,0.859859335381,2.38291678458,0.0,1.74934802292,0.0468396197618,0.0468396197618,0.0468396197618,0.1203805575,0.0249415042523,0.292642171022,0.359707482845,0.608790740623
 12/01  16:00:00,0.94448718807,2.35504590397,0.0,1.71388542363,0.0458900919123,0.0458900919123,0.0458900919123,0.16623984043,0.0344430147508,0.302863615842,0.379702625135,0.615005117766
 12/01  17:00:00,1.22550106171,2.4778398609,0.0,1.7727239438,0.047465521087,0.047465521087,0.047465521087,0.298085235859,0.0617599037538,0.353720743409,0.4491216576,0.674178707247
 12/01  18:00:00,1.70162704775,3.29820179802,0.0,2.4600543488,0.0658691173979,0.0658691173979,0.0658691173979,0.521649128359,0.108079828006,0.445069937436,0.54561103655,0.800563683555
 12/01  19:00:00,1.91331360261,2.70969720382,0.0,1.75165127341,0.0469012903818,0.0469012903818,0.0469012903818,0.6878889,0.1425228,0.398283704478,0.592368907752,0.917241304544
 12/01  20:00:00,1.76480435796,2.75672414003,0.0,1.77842838656,0.0476182602368,0.0476182602368,0.0476182602368,0.642029685859,0.133021318006,0.315345896534,0.611441197322,0.936177355683
 12/01  21:00:00,1.68295561702,2.90569220347,0.0,1.99514574066,0.0534209697771,0.0534209697771,0.0534209697771,0.584705565,0.121144422757,0.275874927963,0.632461731524,0.866980090582
 12/01  22:00:00,1.55094741429,3.23164726904,0.0,2.40640393003,0.0644326020892,0.0644326020892,0.0644326020892,0.49298706793,0.102141373255,0.258342283024,0.617696087987,0.782694080527
 12/01  23:00:00,1.27218126801,3.43109214506,0.0,2.74614382769,0.0735292983531,0.0735292983531,0.0735292983531,0.366874125859,0.0760121837538,0.205880856148,0.534536803897,0.648127387017
 12/01  24:00:00,1.0115116236,3.68440407736,0.0,3.14974475326,0.0843359038091,0.0843359038091,0.0843359038091,0.2579583375,0.0534460642523,0.135920781757,0.464502536285,0.502662620764
 12/02  01:00:00,0.748665577713,4.01121268486,0.0,3.62264507117,0.0969980332345,0.0969980332345,0.0969980332345,0.13184539543,0.0273168747508,0.092942924749,0.38421434955,0.362101466365
 12/02  02:00:00,0.648485008123,4.28024263153,0.0,3.9704108451,0.106309626127,0.106309626127,0.106309626127,0.0802537279296,0.0166276647508,0.0761857795615,0.353760209753,0.285463436207
 12/02  03:00:00,0.602081796584,4.48890539976,0.0,4.20040322126,0.112467780655,0.112467780655,0.112467780655,0.0515916675,0.0106892128505,0.0623264934745,0.349658642104,0.264416359877
 12/02  04:00:00,0.592449739614,4.63043319965,0.0,4.3363443203,0.116107667804,0.116107667804,0.116107667804,0.0515916675,0.0106892128505,0.0539764305342,0.344736760925,0.270342098645
 12/02  05:00:00,0.593681042172,4.78141568363,0.0,4.4262529513,0.118515013875,0.118515013875,0.118515013875,0.0515916675,0.0106892128505,0.0658228643082,0.331714283638,0.332312989431
 12/02  06:00:00,0.653569194524,5.06085359944,0.0,4.43598336164,0.118775550209,0.118775550209,0.118775550209,0.0573240795859,0.0118769038006,0.080078180578,0.370166480351,0.599371761186
 12/02  07:00:00,0.841564773772,5.34341388753,0.0,4.21356533495,0.112820202467,0.112820202467,0.112820202467,0.1203805575,0.0249415042523,0.14038354292,0.427690966632,1.10038757033
 12/02  08:00:00,1.13277023432,5.82483652928,0.0,4.55032377328,0.121837068749,0.121837068749,0.121837068749,0.24649349957,0.0510706795015,0.228567290958,0.454453695544,1.24320825508
 12/02  09:00:00,1.10181423884,5.36705596733,0.0,4.1261580048,0.110479829908,0.110479829908,0.110479829908,0.240761115,0.0498829942523,0.30112795013,0.38421434955,1.2144318152
 12/02  10:00:00,0.980093280777,4.99494771384,0.0,3.86626140296,0.10352097561,0.10352097561,0.10352097561,0.13184539543,0.0273168747508,0.375064554145,0.326997480842,1.10616147933
 12/02  11:00:00,0.994305893541,5.36676875598,0.0,4.36949470818,0.116995285101,0.116995285101,0.116995285101,0.10891571957,0.0225661195015,0.395792849183,0.334687920184,0.974219469497
 12/02  12:00:00,0.980917886732,4.07793307087,0.0,3.20028350984,0.0856891028927,0.0856891028927,0.0856891028927,0.10891571957,0.0225661195015,0.413608485392,0.334790459375,0.854587919448
 12/02  13:00:00,0.945420667688,3.39189492041,0.0,2.60624886991,0.0697835447675,0.0697835447675,0.0697835447675,0.10891571957,0.0225661195015,0.399656479991,0.329150803858,0.762972889862
 12/02  14:00:00,0.907539377069,2.92353596171,0.0,2.19383872558,0.0587410683172,0.0587410683172,0.0587410683172,0.10891571957,0.0225661195015,0.361435815596,0.340532654084,0.706240050313
 12/02  15:00:00,0.903145864227,2.58213686627,0.0,1.90474982512,0.0510005764325,0.0510005764325,0.0510005764325,0.1203805575,0.0249415042523,0.331767743197,0.359707482845,0.652609020111
 12/02  16:00:00,0.983358018801,2.46630222327,0.0,1.78155399157,0.0477019497877,0.0477019497877,0.0477019497877,0.16623984043,0.0344430147508,0.339922588697,0.379702625135,0.658592869125
 12/02  17:00:00,1.26436273762,2.64116160508,0.0,1.88266623032,0.0504092777488,0.0504092777488,0.0504092777488,0.298085235859,0.0617599037538,0.389638662656,0.4491216576,0.727558164918
 12/02  18:00:00,1.74503457402,3.66324600969,0.0,2.76091163795,0.0739247134495,0.0739247134495,0.0739247134495,0.521649128359,0.108079828006,0.480421867651,0.54561103655,0.864750606073
 12/02  19:00:00,1.95449027998,3.04920407082,0.0,2.00809350206,0.0537676522056,0.0537676522056,0.0537676522056,0.6878889,0.1425228,0.432594020017,0.592368907752,1.00030594289
 12/02  20:00:00,1.80417310814,3.04094056582,0.0,1.969797409,0.0527422562217,0.0527422562217,0.0527422562217,0.642029685859,0.133021318006,0.349590650728,0.611441197322,1.02902475902
 12/02  21:00:00,1.72026293174,3.08564876378,0.0,2.08672001244,0.0558729141667,0.0558729141667,0.0558729141667,0.584705565,0.121144422757,0.310730298291,0.632461731524,0.955362379116
 12/02  22:00:00,1.58726005936,3.33220145346,0.0,2.43276341288,0.0651383896954,0.0651383896954,0.0651383896954,0.49298706793,0.102141373255,0.293949140492,0.617696087987,0.856888782105
 12/02  23:00:00,1.30666253923,3.72051723336,0.0,2.97725307568,0.0797173576514,0.0797173576514,0.0797173576514,0.366874125859,0.0760121837538,0.234174068073,0.534536803897,0.706443227328
 12/02  24:00:00,1.03564244266,4.04178803928,0.0,3.47078385902,0.0929318775351,0.0929318775351,0.0929318775351,0.2579583375,0.0534460642523,0.151455627092,0.464502536285,0.539007476922
 12/03  01:00:00,0.758957042564,4.39567618293,0.0,4.00700672444,0.107289498085,0.107289498085,0.107289498085,0.13184539543,0.0273168747508,0.092942924749,0.38421434955,0.362203311161
 12/03  02:00:00,0.659420191452,4.68874545049,0.0,4.37881384739,0.117244809456,0.117244809456,0.117244809456,0.0802537279296,0.0166276647508,0.0761857795615,0.353760209753,0.285563252871
 12/03  03:00:00,0.612942904396,4.89460699837,0.0,4.60603967977,0.123328888467,0.123328888467,0.123328888467,0.0515916675,0.0106892128505,0.0623264934745,0.349658642104,0.264481499971
 12/03  04:00:00,0.604936004925,5.09685696271,0.0,4.80267653323,0.128593933116,0.128593933116,0.128593933116,0.0515916675,0.0106892128505,0.0539764305342,0.344736760925,0.270433648767
 12/03  05:00:00,0.607564023778,5.30006171368,0.0,4.94474918477,0.132397995481,0.132397995481,0.132397995481,0.0515916675,0.0106892128505,0.0658228643082,0.331714283638,0.332462786019
 12/03  06:00:00,0.664436843465,5.4670668363,0.0,4.84186411567,0.129643199149,0.129643199149,0.129643199149,0.0573240795859,0.0118769038006,0.080078180578,0.370166480351,0.599704244013
 12/03  07:00:00,0.87384791881,6.54981190196,0.0,5.41926376364,0.145103347506,0.145103347506,0.145103347506,0.1203805575,0.0249415042523,0.14038354292,0.427690966632,1.10108715607
 12/03  08:00:00,1.15202815688,6.54485240799,0.0,5.26956122473,0.141094991302,0.141094991302,0.141094991302,0.24649349957,0.0510706795015,0.228567290958,0.454453695544,1.24398668234
 12/03  09:00:00,1.09971066582,5.28926806466,0.0,4.04759457252,0.108376256893,0.108376256893,0.108376256893,0.240761115,0.0498829942523,0.30112795013,0.38421434955,1.21520734481
 12/03  10:00:00,0.957149012914,4.13872835351,0.0,3.00934775106,0.0805767077471,0.0805767077471,0.0805767077471,0.13184539543,0.0273168747508,0.375064554145,0.326997480842,1.1068557709
 12/03  11:00:00,0.946710729975,3.58985879029,0.0,2.59192892718,0.0694001215357,0.0694001215357,0.0694001215357,0.10891571957,0.0225661195015,0.395792849183,0.334687920184,0.974875284815
 12/03  12:00:00,0.926184733378,2.0343400574,0.0,1.15613084391,0.0309559495392,0.0309559495392,0.0309559495392,0.10891571957,0.0225661195015,0.413608485392,0.334790459375,0.855147571902
 12/03  13:00:00,0.882756695785,1.05202850958,0.0,0.265899056772,0.00711957286433,0.00711957286433,0.00711957286433,0.10891571957,0.0225661195015,0.399656479991,0.329150803858,0.763456292168
 12/03  14:00:00,0.848798308752,0.728486847936,0.0,0.0,0.0,0.0,0.0,0.10891571957,0.0225661195015,0.361435815596,0.340532654084,0.705029662113
 12/03  15:00:00,0.852145287794,0.675485257545,0.0,0.0,0.0,0.0,0.0,0.1203805575,0.0249415042523,0.331767743197,0.359707482845,0.650707236507
 12/03  16:00:00,0.935656069013,0.682974558009,0.0,0.0,0.0,0.0,0.0,0.16623984043,0.0344430147508,0.339922588697,0.379702625135,0.656819195437
 12/03  17:00:00,1.21610458132,0.83883021979,0.0,0.0803392526905,0.00215112144563,0.00215112144563,0.00215112144563,0.298085235859,0.0617599037538,0.389638662656,0.4491216576,0.727553757252
 12/03  18:00:00,1.70106006569,2.0215347074,0.0,1.11856869014,0.0299502051263,0.0299502051263,0.0299502051263,0.521649128359,0.108079828006,0.480421867651,0.54561103655,0.865382251593
 12/03  19:00:00,1.92192107195,1.83346282914,0.0,0.791711303488,0.0211984441807,0.0211984441807,0.0211984441807,0.6878889,0.1425228,0.432594020017,0.592368907752,1.00094689978
 12/03  20:00:00,1.7789299462,2.09877680566,0.0,1.02702554951,0.0274990942879,0.0274990942879,0.0274990942879,0.642029685859,0.133021318006,0.349590650728,0.611441197322,1.02963285836
 12/03  21:00:00,1.70435875253,2.4922077827,0.0,1.49273687182,0.0399687349598,0.0399687349598,0.0399687349598,0.584705565,0.121144422757,0.310730298291,0.632461731524,0.955904538661
 12/03  22:00:00,1.5732515095,2.8094965343,0.0,1.90957750458,0.0511298398309,0.0511298398309,0.0511298398309,0.49298706793,0.102141373255,0.293949140492,0.617696087987,0.857369771243
 12/03  23:00:00,1.29147899666,3.15379808807,0.0,2.41018399371,0.0645338150798,0.0645338150798,0.0645338150798,0.366874125859,0.0760121837538,0.234174068073,0.534536803897,0.706793164017
 12/03  24:00:00,1.02256147996,3.55347608817,0.0,2.98224111748,0.0798509148271,0.0798509148271,0.0798509148271,0.2579583375,0.0534460642523,0.151455627092,0.464502536285,0.539238267357
 12/04  01:00:00,0.739356129689,3.89570696133,0.0,3.52047077885,0.0942622682873,0.0942622682873,0.0942622682873,0.13184539543,0.0273168747508,0.0863692416722,0.38421434955,0.348770035149
 12/04  02:00:00,0.64177379306,4.16994155883,0.0,3.86717490804,0.10354543514,0.10354543514,0.10354543514,0.0802537279296,0.0166276647508,0.0722387554862,0.353760209753,0.278398300562
 12/04  03:00:00,0.603190689535,4.62270719604,0.0,4.33934125075,0.116187912033,0.116187912033,0.116187912033,0.0515916675,0.0106892128505,0.0597152550472,0.349658642104,0.259280126661
 12/04  04:00:00,0.597863812366,4.87810399277,0.0,4.58954160529,0.122887144729,0.122887144729,0.122887144729,0.0515916675,0.0106892128505,0.0526110263622,0.344736760925,0.264815606765
 12/04  05:00:00,0.601389948075,5.15771103341,0.0,4.81392347868,0.128895075394,0.128895075394,0.128895075394,0.0515916675,0.0106892128505,0.0631517086927,0.331714283638,0.320937811836
 12/04  06:00:00,0.660008486382,5.42162732816,0.0,4.82947723874,0.129311534667,0.129311534667,0.129311534667,0.0573240795859,0.0118769038006,0.0759814879778,0.370166480351,0.56665161281
 12/04  07:00:00,0.844405856938,5.77127488217,0.0,4.71651053668,0.126286797851,0.126286797851,0.126286797851,0.1203805575,0.0249415042523,0.129758030703,0.427690966632,1.02530336323
 12/04  08:00:00,1.1092285993,5.64448114425,0.0,4.46142625301,0.119456795645,0.119456795645,0.119456795645,0.24649349957,0.0510706795015,0.207405929039,0.454453695544,1.15175039032
 12/04  09:00:00,1.0586755696,4.87166354099,0.0,3.72648743402,0.0997784615582,0.0997784615582,0.0997784615582,0.240761115,0.0498829942523,0.268690649238,0.38421434955,1.11870995964
 12/04  10:00:00,0.906870250714,3.85375728305,0.0,2.8133585394,0.0753290040133,0.0753290040133,0.0753290040133,0.13184539543,0.0273168747508,0.330033495679,0.326997480842,1.0178739121
 12/04  11:00:00,0.891403995292,3.34941755846,0.0,2.42795402794,0.0650096161415,0.0650096161415,0.0650096161415,0.10891571957,0.0225661195015,0.344876619894,0.334687920184,0.898408952223
 12/04  12:00:00,0.869817212288,1.82598250722,0.0,1.01126835525,0.0270771879674,0.0270771879674,0.0270771879674,0.10891571957,0.0225661195015,0.361119725873,0.334790459375,0.791652510387
 12/04  13:00:00,0.835502282336,1.01772775383,0.0,0.28666778995,0.00767566550698,0.00767566550698,0.00767566550698,0.10891571957,0.0225661195015,0.3518459739,0.329150803858,0.708386803235
 12/04  14:00:00,0.815947118579,1.08337908199,0.0,0.400995439733,0.010736842342,0.010736842342,0.010736842342,0.10891571957,0.0225661195015,0.317847783081,0.340532654084,0.658926456431
 12/04  15:00:00,0.828398960464,1.20895486861,0.0,0.574378094879,0.015379244845,0.015379244845,0.015379244845,0.1203805575,0.0249415042523,0.292642171022,0.359707482845,0.609798752691
 12/04  16:00:00,0.916427859756,1.30814890608,0.0,0.665936470168,0.0178307635985,0.0178307635985,0.0178307635985,0.16623984043,0.0344430147508,0.302863615842,0.379702625135,0.616057073344
 12/04  17:00:00,1.20255140877,1.62184973813,0.0,0.915609172313,0.0245158681519,0.0245158681519,0.0245158681519,0.298085235859,0.0617599037538,0.353720743409,0.4491216576,0.675303355973
 12/04  18:00:00,1.67917601122,2.4610917476,0.0,1.62156171027,0.0434180808704,0.0434180808704,0.0434180808704,0.521649128359,0.108079828006,0.445069937436,0.54561103655,0.801946271666
 12/04  19:00:00,1.89149598633,1.89644389833,0.0,0.936815369374,0.0250836740966,0.0250836740966,0.0250836740966,0.6878889,0.1425228,0.398283704478,0.592368907752,0.918823903093
 12/04  20:00:00,1.74000429758,1.83211956631,0.0,0.852205312966,0.0228181998638,0.0228181998638,0.0228181998638,0.642029685859,0.133021318006,0.315345896534,0.611441197322,0.937795855549
 12/04  21:00:00,1.65914100736,2.01775431838,0.0,1.10572689941,0.0296063601126,0.0296063601126,0.0296063601126,0.584705565,0.121144422757,0.275874927963,0.632461731524,0.868461046744
 12/04  22:00:00,1.52210794491,2.15585917261,0.0,1.32931856975,0.0355931327178,0.0355931327178,0.0355931327178,0.49298706793,0.102141373255,0.258342283024,0.617696087987,0.783991344383
 12/04  23:00:00,1.24359592656,2.36446670102,0.0,1.67854953861,0.044943956897,0.044943956897,0.044943956897,0.366874125859,0.0760121837538,0.205880856148,0.534536803897,0.64909623206
 12/04  24:00:00,0.979536192803,2.49085013199,0.0,1.95553871707,0.0523604730089,0.0523604730089,0.0523604730089,0.2579583375,0.0534460642523,0.135920781757,0.464502536285,0.503314711585
 12/05  01:00:00,0.707726201172,2.71445220213,0.0,2.33916842844,0.0626323397698,0.0626323397698,0.0626323397698,0.13184539543,0.0273168747508,0.0863692416722,0.38421434955,0.348817626364
 12/05  02:00:00,0.609764612509,2.97450753718,0.0,2.67170839917,0.0715362545887,0.0715362545887,0.0715362545887,0.0802537279296,0.0166276647508,0.0722387554862,0.353760209753,0.27843078778
 12/05  03:00:00,0.562918717386,3.11856696123,0.0,2.83527919354,0.0759159398841,0.0759159398841,0.0759159398841,0.0515916675,0.0106892128505,0.0597152550472,0.349658642104,0.259201949056
 12/05  04:00:00,0.551579918409,3.1494292427,0.0,2.86094861503,0.0766032507715,0.0766032507715,0.0766032507715,0.0515916675,0.0106892128505,0.0526110263622,0.344736760925,0.264733846955
 12/05  05:00:00,0.549962813428,3.23703729994,0.0,2.89324272214,0.0774679407461,0.0774679407461,0.0774679407461,0.0515916675,0.0106892128505,0.0631517086927,0.331714283638,0.320944834911
 12/05  06:00:00,0.60637499475,3.41866366366,0.0,2.82639431392,0.0756780430346,0.0756780430346,0.0756780430346,0.0573240795859,0.0118769038006,0.0759814879778,0.370166480351,0.566770873139
 12/05  07:00:00,0.789154507037,3.70821817439,0.0,2.6530044663,0.0710354479497,0.0710354479497,0.0710354479497,0.1203805575,0.0249415042523,0.129758030703,0.427690966632,1.02575272584
 12/05  08:00:00,1.0678638848,4.10016892033,0.0,2.91655287666,0.0780920811457,0.0780920811457,0.0780920811457,0.24649349957,0.0510706795015,0.207405929039,0.454453695544,1.15231154275
 12/05  09:00:00,1.02607302626,3.65460809791,0.0,2.50886024109,0.0671759182213,0.0671759182213,0.0671759182213,0.240761115,0.0498829942523,0.268690649238,0.38421434955,1.1192817095
 12/05  10:00:00,0.889710589722,3.21343627113,0.0,2.17248615012,0.0581693430216,0.0581693430216,0.0581693430216,0.13184539543,0.0273168747508,0.330033495679,0.326997480842,1.01842528946
 12/05  11:00:00,0.882381042836,3.01289198229,0.0,2.09096828554,0.055986663686,0.055986663686,0.055986663686,0.10891571957,0.0225661195015,0.344876619894,0.334687920184,0.898869118451
